Runtime:, 10000
Size:, 80, 100
Deadline:, 300
Spawn:, 70
,FIFO, EDF, STR
0, 13, 11, 110
1, 13, 12, 110
2, 12, 12, 110
3, 13, 12, 110
4, 12, 12, 110
5, 13, 12, 109
6, 12, 12, 112
7, 13, 11, 110
8, 12, 12, 109
9, 13, 13, 111
10, 13, 12, 111
11, 13, 13, 110
12, 11, 11, 111
13, 10, 12, 111
14, 11, 12, 110
15, 11, 13, 110
16, 11, 11, 110
17, 12, 13, 109
18, 11, 12, 110
19, 11, 13, 110
