Runtime:, 1000
Size:, 1, 100
Deadline:, 200
Spawn:, 1
,FIFO, EDF, STR
0, 6, 13, 134
1, 4, 13, 134
2, 5, 14, 136
3, 3, 11, 133
4, 5, 13, 133
5, 4, 18, 133
6, 3, 11, 129
7, 4, 11, 121
8, 4, 12, 135
9, 3, 12, 138
10, 3, 11, 134
11, 4, 13, 126
12, 4, 18, 129
13, 6, 15, 131
14, 3, 10, 130
15, 3, 13, 138
16, 4, 14, 133
17, 4, 10, 132
18, 6, 8, 144
19, 4, 12, 129
