Runtime:, 10000
Size:, 1, 1000
Deadline:, 2000
Spawn:, 20
,FIFO, EDF, STR
0, 6, 24, 103
1, 6, 18, 101
2, 6, 14, 97
3, 4, 16, 99
4, 4, 18, 93
5, 8, 16, 95
6, 3, 18, 103
7, 3, 24, 93
8, 6, 19, 94
9, 3, 18, 103
10, 5, 15, 100
11, 4, 18, 103
12, 4, 15, 105
13, 7, 13, 98
14, 4, 16, 105
15, 5, 14, 92
16, 5, 15, 93
17, 6, 24, 91
18, 7, 19, 96
19, 4, 20, 104
