Jobs:,1000,,
Size:,1,100,
Deadline:,500,,
,FIFO, EDF, STR
0,13,54,108
1,10,46,101
2,10,55,102
3,11,42,96
4,13,49,96
5,12,46,102
6,12,49,102
7,11,62,94
8,8,45,95
9,13,54,110
10,8,49,99
11,10,46,89
12,12,46,91
13,10,47,98
14,11,55,99
15,12,49,97
16,13,46,100
17,11,40,92
18,11,55,95
19,10,48,94
