Runtime:, 10000
Size:, 20, 100
Deadline:, 200
Spawn:, 30
,FIFO, EDF, STR
0, 26, 57, 210
1, 12, 64, 212
2, 20, 51, 205
3, 25, 56, 217
4, 19, 47, 207
5, 25, 49, 207
6, 21, 54, 206
7, 14, 63, 206
8, 24, 51, 204
9, 26, 56, 207
10, 24, 56, 211
11, 28, 53, 211
12, 26, 43, 206
13, 19, 51, 213
14, 19, 55, 208
15, 26, 53, 208
16, 19, 60, 207
17, 29, 54, 211
18, 26, 55, 207
19, 23, 50, 210
